student_id,name,course,department,year,email,academic_consistency,gpa_trend,subject_mastery_level,exam_performance_consistency,study_habits_consistency,lms_engagement_level,assignment_completion_rate,self_learning_initiative,class_participation,responsiveness_to_feedback,consultation_frequency,group_study_participation,peer_collaboration_quality,academic_peer_environment_strength,adaptation_to_course_difficulty,engagement_in_program_activities,skill_development_alignment,financial_stability,scholarship_support_level,motivation_level,stress_level,time_management_skills,risk_label,study_hours,library_visits,scholarship,scholarship_amount,family_income,lms_login_per_month,status
STU-0015,Student STU-0015,BSIT,CCIS,4,studentSTU-0015@university.edu,2.8,2,4,2.7,3.6,3.4,3.3,4,3.9,3.1,3,3.1,3.6,3.9,4,3.4,3.3,3.4,3.6,3.7,3.3,2.9,0,2,5,no,0,63955,22,active
ATR-PERSONAL-04,Student ATR-PERSONAL-04 (Personal Risk),BSCS,CCIS,2,studentATR-PERSONAL-04@university.edu,2.4,2.1,2.8,2.8,1.5,1.6,1.1,1.3,1.4,1.6,1.7,1.9,1.4,1.7,1.8,2,1.6,2.8,2.2,1.2,1,1.4,2,5,2,yes,2202,88579,8,active
STU-0032,Student STU-0032,BSA,CCIS,2,studentSTU-0032@university.edu,2.7,4,2.5,3.5,3.7,3,2.2,3,3.2,3.1,2.8,1.6,2.6,2.1,2.9,2.7,1.8,3.7,3.1,2.1,2,2.6,1,6,4,yes,8456,66704,16,active
STU-0072,Student STU-0072,BSA,CCIS,1,studentSTU-0072@university.edu,1,1,2.2,2.1,2,1.6,1.7,2,1.6,1.9,1.6,1,1.1,1.5,1.9,1,1.9,2.5,1.4,1,1.1,1.6,2,6,3,no,0,16094,29,active
STU-0036,Student STU-0036,BSIT,CCIS,1,studentSTU-0036@university.edu,2.1,4,2.4,2.7,1.3,1.8,2.5,4,3.3,1.5,1.9,2.7,1.8,2.7,2.8,3,2.9,2,2.6,2.6,2.7,2.5,1,6,17,no,0,47721,3,active
STU-0068,Student STU-0068,BSIT,CCIS,2,studentSTU-0068@university.edu,1.8,1,1,1.3,1,1.8,2.4,2,1,1.4,1.7,1.1,1,1.6,1.5,1.4,1.2,2.5,1.8,2.3,2,1.8,2,1,18,yes,8071,58049,22,active
STU-0065,Student STU-0065,BSIT,CCIS,1,studentSTU-0065@university.edu,1.2,3,1.4,1.8,1.2,1,1.2,4,1.4,1.6,2,1.1,1.2,2.4,1.9,1.2,1.4,1.7,2.5,1,1.7,1.6,2,5,13,no,0,55706,14,active
STU-0040,Student STU-0040,BSCS,CCIS,2,studentSTU-0040@university.edu,1.9,3,2.8,2.7,2.9,1.8,2.4,4,3,3.1,1.7,3.6,2.7,2.9,1.8,3.5,3.5,2.9,2.5,2.2,2.8,2.8,1,1,13,yes,15772,37011,2,active
STU-0001,Student STU-0001,BSCS,CCIS,1,studentSTU-0001@university.edu,3.5,2,3.9,3.5,3,3.2,2.7,4,3.3,3.3,4,3,3.8,2.7,4,4,4,3.1,3.9,3.9,2.9,2.8,0,2,7,yes,24911,46434,14,active
STU-0047,Student STU-0047,BSA,CCIS,2,studentSTU-0047@university.edu,2,4,3.1,3,2.6,2.4,2.5,3,2.1,3.3,2.1,1.9,2,2.3,2.7,3.2,2.7,2.5,3.4,3.3,2.9,2.5,1,10,1,no,0,53463,30,active
